codigo_entidad,nombre_banco,tipo_entidad,A C T I V O,ACTIVOS INTANGIBLES,ADELANTOS,AJUSTES NIIF,BIENES DIVERSOS,CAJA DE AHORROS,"CAPITAL, APORTES, RESERVAS Y ORI ACUMULADO",CARGO POR INCOBRABILIDAD,COBROS NO APLICADOS,CONTINGENTES ACREEDORAS,CONTINGENTES DEUDORAS,CREDITO POR ARRENDAMIENTO FINANCIERO,CRÉDITOS DIVERSOS,CRÉDITOS IRRECUPERABLES EN PARTIDAS FUERA DEL BALANCE,CRÉDITOS RECUPERADOS Y PREVISIONES DESAFECTADAS,CUENTAS CORRIENTES,DE ACTIVIDAD FIDUCIARIA DEUDORAS,DE CONTROL ACREEDORAS,DE CONTROL DEUDORAS,DE DERIVADOS ACREEDORAS,DE DERIVADOS DEUDORAS,DEPÓSITOS,DETERIORO DE VALOR,"DOC A SOLA FIRMA, DESCONT. Y COMPRADOS",EFECTIVO Y DEPOSITO EN BANCOS,EGRESOS FINANCIEROS,EGRESOS POR SERVICIOS,EN ENTIDADES FINANCIERAS,FILIALES EN EL EXTERIOR,GASTOS DE ADMINISTRACIÓN,HIPOTECARIOS,IMPUESTO A LAS GANANCIAS,INGRESOS FINANCIEROS,INGRESOS POR SERVICIOS,INTERESES DOCUMENTADOS,INTERESES Y DIF. COTIZ. DEVENG. A COBRAR,INTERESES Y DIF. COTIZ. DEVENG. A PAGAR,OBLIGACIONES DIVERSAS,OBLIGACIONES SUBORDINADAS,OTRAS,OTRAS OBLIG.POR INTERMED. FINANC.,OTRO RESULTADO INTEGRAL,OTROS,OTROS CRED.POR INTERM.FINAN.,OTROS EGRESOS FINANCIEROS,OTROS INGRESOS FINANCIEROS,P A S I V O,P A T R I M O N I O N E T O,PART. EN OTRAS SOCIEDADES,PARTIDAS PEND. DE IMPUTACIÓN,PARTIDAS PENDIENTES DE IMPUTACIÓN,PERSONALES,PLAZO FIJO E INVERSIONES A PLAZO,POR INTERESES,PRENDARIOS,PREVISIONES,"PROPIEDAD, PLANTAS Y EQUIPO",PROVISIONES,PRÉSTAMOS,R D O S. I N T E G R A L E S A C U M. D E L P E R I O D O,RESULTADO MONETARIO,RESULTADOS NO ASIGNADOS,SECTOR FINANCIERO,SECTOR PRIVADO NO FINANCIERO Y RESIDENTES EN EL EXT.,SECTOR PÚBLICO NO FINANCIERO,TÍTULOS PÚBLICOS Y PRIVADOS,C.CAC.Sit.1: En situación normal (%),C.CAC.Sit.2: Riesgo bajo (%),C.CAC.Sit.3: Riesgo medio (%),C.CAC.Sit.4: Riesgo alto (%),C.CAC.Sit.5: Irrecuperable (%),C.CAC.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),C.COM.Sit.1: En situación normal (%),C.COM.Sit.2: Con seguimiento especial (%),C.COM.Sit.3: Con problemas (%),C.COM.Sit.4: Con alto riesgo de insolvencia (%),C.COM.Sit.5: Irrecuperable (%),C.COM.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),C.CON.Sit.1: En situación normal (%),C.CON.Sit.2: Riesgo bajo (%),C.CON.Sit.3: Riesgo medio (%),C.CON.Sit.4: Riesgo alto (%),C.CON.Sit.5: Irrecuperable (%),C.CON.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),CARTERA COMERCIAL ($),CARTERA COMERCIAL ASIMILABLE A CONSUMO ($),CARTERA DE CONSUMO O VIVIENDA ($),Previsiones por riesgo de incobrabilidad constituídas,TF.Sit.1: En situación normal (%),TF.Sit.2: Con seguimiento especial/Riesgo bajo (%),TF.Sit.3: Con problemas/Riesgo medio (%),TF.Sit.4: Con alto riesgo de insolvencia/Riesgo alto (%),TF.Sit.5: Irrecuperable (%),TOTAL DE FINANCIACIONES Y GARANTIAS OTORGADAS ($),TOTAL GARANTIZADO - Garantías Preferidas A y B (%),Total cartera sobre financiaciones (%),Cantidad de Cuentas,Cantidad de Empresas,Cantidad de cajas de ahorro de ayuda social,Cantidad de cuentas corrientes,Cantidad de cuentas de ahorro,Cantidad de cuentas previsionales,Cantidad de operaciones a plazo fijo Empresas,Cantidad de operaciones a plazo fijo Individuos,Cantidad de operaciones por otros préstamos,Cantidad de operaciones por préstamos hipotecarios,Cantidad de operaciones por préstamos prendarios,Cantidad de tarjetas de crédito (plásticos),Cantidad de tarjetas de débito,Cantidad de titulares por tarjetas de crédito,Dotación de personal,hipoteca_uva,hipoteca_tea_max,hipoteca_monto_max,hipoteca_plazo_max,hipoteca_n_productos,ofrece_hipoteca,personal_tea_max,personal_monto_max,personal_plazo_max,personal_n_productos,ofrece_personal,prendario_tea_max,prendario_monto_max,prendario_n_productos,ofrece_prendario,pfijo_uva,pfijo_tea_min,pfijo_monto_min,pfijo_n_productos,ofrece_pfijo,paquete_tiene_premium,paquete_comision_min,paquete_comision_max,paquete_n_productos,ofrece_paquete,tarjeta_tea_financiacion,tarjeta_tea_adelanto,tarjeta_tiene_premium,tarjeta_comision_admin_min,tarjeta_n_productos,ofrece_tarjeta,caja_apertura_simplificada,n_productos_ofrecidos
00007,BANCO DE GALICIA Y BUENOS AIRES S.A,privado_nacional,36652383802.0,329742564.0,993859800.0,-155446215.0,114415020.0,13595537804.0,6116195102.0,-1836132381.0,-2716924.0,22193410479.0,2144926783.0,49124964.0,899247541.0,665958944.0,60965177.0,2616213565.0,27383989.0,258253953.0,103681329093.0,1727809854.0,1983231593.0,25566662220.0,,7012827790.0,9073773343.0,-3600168194.0,-649355464.0,,,-2092411961.0,1077039628.0,78837582.0,7756692459.0,1348355546.0,-59888382.0,959732664.0,176412405.0,542312003.0,516103776.0,12198862.0,3797294083.0,-31545228.0,6224676316.0,1279691745.0,-620716974.0,1970392250.0,30628766865.0,6023616937.0,12198862.0,2686009.0,1552349.0,2058654446.0,8650839674.0,5786300209.0,651398112.0,-1359338950.0,1098167416.0,204842434.0,17970336315.0,-101848513.0,-1192417880.0,-92578165.0,554037600.0,18760137235.0,15500430.0,5823000023.0,92.37,2.97,2.37,1.88,0.42,14.97,99.14,0.36,0.05,0.45,0.0,5.78,79.02,6.32,7.14,6.41,1.1,14.94,8193614.63,5236278.13,8275396.17,1405361.55,89.84,3.26,3.31,3.07,0.52,21705288.93,11.49,37.75,1621940.0,277240.0,79206.0,663924.0,10084506.0,315419.0,14107.0,496239.0,5873629.0,7131.0,22820.0,5014189.0,7286249.0,3511027.0,6302.0,1,12.0,999999999.0,240.0,1.0,1,30.0,24800000.0,72.0,2.0,1,34.0,57000000.0,18.0,1,1,26.83,100.0,12.0,1,1,27000.0,70000.0,56.0,1,133.44,133.44,1,18500.0,12.0,1,1,6
00011,BANCO DE LA NACION ARGENTINA,publico,69203707044.0,,534159982.0,-14830184.0,116512704.0,8344541954.0,20584351053.0,-1252228556.0,-4414020.0,22010837176.0,42988242214.0,,1117018288.0,1147019358.0,561714017.0,1819564734.0,3785224205.0,83297874.0,50764893983.0,,,45218109389.0,,7072399742.0,6178501822.0,-8693407051.0,-849530133.0,289650307.0,1268529998.0,-2416052851.0,3178084468.0,-202722201.0,17298157371.0,738414713.0,-146746055.0,4653358082.0,300208589.0,2165643323.0,,1231519206.0,600365573.0,841935203.0,5423123321.0,2932418054.0,-946273095.0,6655924747.0,48275920381.0,20927786663.0,1521169513.0,29657158.0,50909639.0,3354187538.0,16727567733.0,10642232624.0,1052072306.0,-1296778504.0,1535845679.0,240892457.0,25224618427.0,1190433509.0,-4591966656.0,343435610.0,898.0,25101395180.0,1420000853.0,29279435401.0,94.13,3.11,1.46,1.13,0.16,20.32,97.09,1.07,0.64,0.75,0.45,11.02,89.37,5.01,2.95,2.12,0.54,51.12,8494779.19,7174645.32,11906407.22,1314557.59,92.98,3.3,1.85,1.44,0.42,27575831.73,30.76,30.81,1146571.0,39601.0,7370931.0,368598.0,21191133.0,5174830.0,66977.0,947888.0,5517004.0,81696.0,17198.0,5868760.0,21005564.0,2654471.0,15405.0,1,6.17,521192700.0,360.0,24.0,1,45.37,100000000.0,72.0,5.0,1,,,,0,1,25.66,100.0,10.0,1,1,9427.0,75038.0,12.0,1,103.18,103.18,0,8801.54,1.0,1,1,5
00014,BANCO DE LA PROVINCIA DE BUENOS AIR,publico,19195579702.0,40838962.0,133878147.0,-89404169.0,36690475.0,5282343468.0,3970774881.0,-514675858.0,-576357.0,8345471328.0,2704432340.0,4030539.0,212549456.0,146187937.0,117142272.0,1150650581.0,641618482.0,53722988.0,7451718846.0,,58060250.0,13576868521.0,-59786.0,2154483669.0,2194321888.0,-2270998205.0,-629118329.0,,65642349.0,-1778171679.0,72968695.0,,4788415215.0,740575243.0,-21367490.0,1274941035.0,69964720.0,269648922.0,,317756610.0,1245148487.0,15471367.0,3788926223.0,606502702.0,-143538277.0,1223097345.0,15227398295.0,3968181407.0,317696824.0,26542879.0,7459148.0,2053708837.0,4691650299.0,3565317870.0,160024855.0,-566862054.0,1636251697.0,128273217.0,9052691355.0,12877893.0,-519271634.0,-2593474.0,7.0,9527583445.0,91969957.0,5001820576.0,89.76,4.54,3.2,2.26,0.23,10.11,92.6,0.03,5.65,1.73,,6.96,82.94,6.41,4.77,5.14,0.75,1.84,2159871.45,2274912.99,5677481.58,569181.61,86.53,4.63,4.61,3.76,0.47,10112266.02,4.8,21.36,1284987.0,22992.0,1183769.0,1227438.0,12456724.0,1251531.0,50519.0,449728.0,5655930.0,23499.0,4765.0,5112856.0,11543252.0,2276381.0,10093.0,0,37.22,345689450.0,240.0,60.0,1,77.88,50000000.0,60.0,22.0,1,,,,0,1,24.48,100.0,20.0,1,1,24700.0,85000.0,72.0,1,40.42,40.42,1,0.0,11.0,1,1,5
00015,INDUSTRIAL AND COMMERCIAL BANK OF C,extranjero,14019179843.0,133093688.0,599163121.0,-41225414.0,3341268.0,2698607457.0,2035475271.0,-419810707.0,-49276.0,6109420892.0,1683427818.0,24860906.0,377271398.0,144880860.0,109827135.0,1221075278.0,,57258478.0,27353472779.0,1646470301.0,1873410782.0,6959590128.0,,161012860.0,2001721361.0,-1235484746.0,-171295079.0,,,-714860580.0,122723267.0,-68809807.0,2621464992.0,297476381.0,-7487299.0,186072841.0,58313413.0,241257562.0,,10684701.0,4571957705.0,-49850644.0,4301911426.0,1574350320.0,-174936907.0,776442642.0,11850202619.0,2168977224.0,10684701.0,8227065.0,29445317.0,205239961.0,2822813940.0,1845022350.0,858671046.0,-209876104.0,434861190.0,47951907.0,6336825414.0,83499617.0,-383790895.0,133501953.0,160517475.0,6386032533.0,151510.0,3113942532.0,92.39,4.12,2.15,1.31,0.03,25.42,99.87,0.01,0.03,0.08,0.0,8.23,86.53,5.67,4.83,2.9,0.07,20.0,4940205.04,595784.2,2201102.71,217882.62,95.5,1.94,1.56,0.98,0.02,7737091.95,12.9,63.85,186584.0,12924.0,,142138.0,1962551.0,,,,,,,,,,,1,9.27,300000000.0,240.0,2.0,1,147.19,145000000.0,96.0,8.0,1,67.97,130000000.0,7.0,1,1,23.89,1000.0,6.0,1,1,26000.0,76000.0,3.0,1,120.78,120.78,0,0.0,8.0,1,1,6
00016,CITIBANK N.A.,extranjero,5643849601.0,,274740020.0,,187592.0,709195003.0,1452565450.0,-16849427.0,,364905513.0,430509875.0,3042392.0,339459426.0,381223.0,2666853.0,2048984314.0,,52819597.0,4481977329.0,894011261.0,435134977.0,2761979045.0,,176329619.0,1170016624.0,-67540901.0,-41586566.0,,,-495201174.0,9501205.0,-144759021.0,1273843392.0,181478337.0,-3928996.0,210584731.0,3355473.0,367059488.0,,,495618935.0,-712295.0,712426961.0,1357220434.0,-40407820.0,791583748.0,3634339734.0,2009509867.0,,51532.0,9108.0,,,482259644.0,2451602.0,-86572820.0,80621222.0,9673158.0,1295731453.0,160373412.0,-536753683.0,556944417.0,199131.0,1382105142.0,,1397518926.0,,,,,,,100.0,0.0,,0.0,,4.93,,,,,,,1415654.74,,,87453.88,100.0,0.0,,0.0,,1415654.74,4.93,100.0,,,,2047.0,730.0,,,,1388.0,33.0,27.0,,,,1051.0,0,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,,,0,,,0,0,0
00017,BANCO BBVA ARGENTINA S.A.,extranjero,24538348034.0,117760737.0,1142236335.0,-48298641.0,196708452.0,6924220611.0,3182768779.0,-794902714.0,,18222613909.0,3670091608.0,36493699.0,629586465.0,251709203.0,33007139.0,2838400219.0,,225377995.0,37399144035.0,933676736.0,1002083088.0,17249108277.0,,3031571644.0,4737500473.0,-3006926539.0,-459725488.0,135111595.0,,-1335071973.0,335196939.0,-115999368.0,5484312060.0,883738420.0,-139011093.0,680349304.0,167950732.0,765366273.0,,100111743.0,3037201299.0,-92055617.0,6872684702.0,1089997759.0,-599567370.0,1018480188.0,21105587890.0,3432760144.0,235223338.0,5522812.0,4308482.0,1333871776.0,6776108371.0,4465831872.0,120071082.0,-636208643.0,895630330.0,49603559.0,13227331230.0,157935748.0,-539291240.0,249991365.0,531715139.0,13328672048.0,3152686.0,3366592739.0,92.89,3.73,1.63,1.57,0.18,1.83,99.5,0.16,0.13,0.2,0.02,0.66,85.54,4.71,4.49,4.95,0.31,10.22,6823590.0,1872150.17,5522533.69,638478.6,93.21,2.4,2.02,2.22,0.15,14218273.86,4.53,47.99,862833.0,70059.0,370851.0,2232705.0,6967131.0,290416.0,7503.0,242057.0,3634274.0,6954.0,21355.0,4859546.0,4294107.0,2038645.0,6586.0,1,7.76,999999999.0,360.0,13.0,1,249.85,70000000.0,72.0,7.0,1,28.0,55000000.0,4.0,1,1,22.54,1000.0,12.0,1,1,22900.0,78900.0,49.0,1,106.41,106.41,1,28900.0,8.0,1,1,6
00020,BANCO DE LA PROVINCIA DE CORDOBA S.,publico,6080435298.0,60324115.0,107754620.0,-21242226.0,11953010.0,953709579.0,603928631.0,-160678114.0,,1871467751.0,812751460.0,1.0,137580096.0,8510289.0,18160676.0,258605418.0,,158997197.0,1470166815.0,3271000.0,,4683768611.0,,307176299.0,477620790.0,-1119869667.0,-91918645.0,,,-532113652.0,255064333.0,94372288.0,1616872645.0,227137131.0,-19805027.0,660712317.0,26267498.0,118928401.0,,14958866.0,453220846.0,,1068816165.0,368746154.0,-133168949.0,719732286.0,5298228545.0,782206753.0,14958866.0,7398627.0,19707122.0,643942949.0,1879677080.0,897140359.0,27443071.0,-155676512.0,209027563.0,22603565.0,2931467128.0,-72151620.0,-157927920.0,178278122.0,1230.0,3029862501.0,57281139.0,1861358948.0,94.68,2.43,1.39,1.3,0.2,10.11,93.08,0.69,1.32,4.05,0.86,4.92,87.62,4.37,3.48,3.79,0.74,28.09,563164.96,384555.0,2243285.19,157452.01,89.44,3.49,2.84,3.54,0.7,3191005.14,21.84,17.65,200631.0,1396.0,631660.0,679983.0,2972779.0,502177.0,2809.0,180936.0,1298095.0,8834.0,775.0,1021213.0,287391.0,692247.0,1784.0,1,8.9,468092500.0,240.0,12.0,1,114.99,138720000.0,72.0,7.0,1,,,,0,1,25.37,100.0,17.0,1,0,14000.0,14000.0,3.0,1,369.88,369.88,1,4345.99,18.0,1,1,5
00027,BANCO SUPERVIELLE S.A.,privado_nacional,7402408895.0,138720163.0,372795015.0,-2815976.0,115230270.0,2768371780.0,873931504.0,-260519938.0,,1989213718.0,1365146345.0,103995835.0,337871314.0,54941730.0,8385494.0,602524709.0,647.0,23998321.0,1673710228.0,142199922.0,397648803.0,5121355412.0,,808151825.0,1478161428.0,-1112902961.0,-106088838.0,,,-564701147.0,151577253.0,75891032.0,1776629306.0,204516347.0,-38645615.0,343266914.0,24716838.0,155203150.0,,6571.0,1347787668.0,-5350363.0,1181670072.0,529825629.0,-216228503.0,338570899.0,6641964709.0,760444186.0,6571.0,501720.0,3889715.0,466719596.0,1541774561.0,1438058407.0,251485741.0,-227533660.0,125122352.0,13728764.0,3647892345.0,-118873968.0,-117172062.0,-113487318.0,332485738.0,3534204825.0,8735442.0,925081268.0,85.16,5.9,4.13,4.25,0.55,28.67,98.14,0.49,0.0,1.33,0.04,5.69,87.55,4.7,4.11,3.39,0.25,27.43,1972862.48,1033808.43,1198155.22,232125.76,91.93,3.02,2.19,2.64,0.23,4204826.13,17.53,46.92,103025.0,12059.0,415946.0,39733.0,1888874.0,596593.0,2304.0,66631.0,1781346.0,2373.0,33910.0,806696.0,2285096.0,680392.0,2916.0,1,18.39,99999999.0,180.0,54.0,1,176.31,75000000.0,72.0,48.0,1,49.65,85250000.0,16.0,1,1,23.6,100.0,20.0,1,1,0.0,83400.0,52.0,1,142.75,142.75,1,10800.0,11.0,1,1,6
00029,BANCO DE LA CIUDAD DE BUENOS AIRES,publico,9187958465.0,30272403.0,48148346.0,4534090.0,15651469.0,1738061065.0,1362718815.0,-76395277.0,-98830.0,2750142715.0,3045071243.0,1206253.0,199759440.0,41465097.0,21257238.0,190059186.0,86742169.0,1371616.0,634339698.0,,,6684967355.0,,847520648.0,2118265886.0,-851239635.0,-107082493.0,,,-421487689.0,368824104.0,-124709243.0,2044513363.0,119815552.0,-1366159.0,597487415.0,13189495.0,306870489.0,,3229341.0,226403457.0,3154560.0,705687302.0,558048969.0,-129676620.0,631318213.0,7235154267.0,1952804198.0,3229341.0,,,385170275.0,958271454.0,1413195150.0,17535962.0,-95148682.0,202193559.0,16912966.0,3068302897.0,129440943.0,-466118718.0,590085383.0,172145979.0,2973443153.0,17862447.0,2991028248.0,93.21,1.96,3.2,1.15,0.47,34.67,97.06,1.12,0.43,0.82,0.55,4.88,91.6,3.54,1.99,2.16,0.71,21.04,1272432.96,335401.6,1809889.88,96251.98,93.8,2.49,1.53,1.56,0.63,3417724.44,16.36,37.23,264483.0,3722.0,76679.0,55716.0,1263785.0,176378.0,2284.0,132573.0,170529.0,19438.0,186.0,946504.0,1612195.0,789054.0,2408.0,1,10.36,300000000.0,240.0,68.0,1,127.33,40000000.0,72.0,12.0,1,63.21,28000000.0,2.0,1,1,20.75,100.0,24.0,1,0,26734.0,26734.0,42.0,1,125.3,125.3,0,6458.0,6.0,1,1,6
00034,BANCO PATAGONIA S.A.,privado_nacional,8678754177.0,5199129.0,1228055472.0,-7375351.0,5221479.0,2595530381.0,1547986956.0,-86745128.0,,1863019673.0,1018392902.0,56540686.0,116464083.0,15579040.0,2003683.0,361096152.0,168663711.0,22618492.0,4840237364.0,155680945.0,342415035.0,5745077363.0,,1047871460.0,1485224407.0,-1340773783.0,-132747401.0,33577483.0,,-445864301.0,97841875.0,-63748436.0,2333503404.0,213503155.0,-7742557.0,114756412.0,57301314.0,277297546.0,,40696805.0,991699758.0,-35278048.0,740118506.0,171402373.0,-147298128.0,630536027.0,7021655749.0,1657098428.0,74274288.0,310513.0,627731.0,341056552.0,2332781224.0,1702967377.0,,-81301975.0,208691996.0,6953351.0,3902988577.0,73833424.0,-390587210.0,109111472.0,371977437.0,3554582369.0,57730746.0,2652436646.0,96.77,1.34,1.65,0.19,0.05,40.44,99.98,0.0,0.01,0.0,0.01,7.87,88.0,4.08,3.51,4.15,0.25,11.26,3158761.89,168022.99,1124599.92,81703.55,96.84,1.08,0.95,1.06,0.07,4451384.8,9.96,70.96,279581.0,12430.0,42883.0,163210.0,3538797.0,226508.0,2905.0,68456.0,997362.0,1519.0,,929892.0,2412297.0,629205.0,2828.0,1,13.24,140000000.0,360.0,3.0,1,129.55,30000000.0,60.0,2.0,1,,,,0,1,20.75,500.0,32.0,1,0,21250.0,21250.0,5.0,1,126.1,126.1,0,10436.25,1.0,1,1,5
