codigo_bcra,nombre_banco,tipo_entidad,fuente,variable,periodo,valor,scraping_fecha
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,,Dic-2023,,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,A C T I V O,Dic-2023,148814589.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,EFECTIVO Y DEPOSITO EN BANCOS,Dic-2023,723106.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,TÍTULOS PÚBLICOS Y PRIVADOS,Dic-2023,8429691.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,PRÉSTAMOS,Dic-2023,5369788.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,SECTOR FINANCIERO,Dic-2023,3343159.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,SECTOR PRIVADO NO FINANCIERO Y RESIDENTES EN EL EXT.,Dic-2023,2052129.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,ADELANTOS,Dic-2023,,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,"DOC A SOLA FIRMA, DESCONT. Y COMPRADOS",Dic-2023,1030559.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,HIPOTECARIOS,Dic-2023,1965.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,PRENDARIOS,Dic-2023,611.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,PERSONALES,Dic-2023,,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,OTROS,Dic-2023,1129549.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,INTERESES Y DIF. COTIZ. DEVENG. A COBRAR,Dic-2023,16755.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,INTERESES DOCUMENTADOS,Dic-2023,-125912.0,2026-04-19
00340,BACS BANCO DE CREDITO Y SECURITIZAC,privado_nacional,estados_contables,AJUSTES NIIF,Dic-2023,-1398.0,2026-04-19
