codigo_entidad,tea_personal_mediana,tea_tarjeta_mediana,comision_tarjeta_mediana,ingreso_min_personal,variedad_total
7,140.0,133.44,29500.0,310000.0,101
11,79.59,103.18,8801.54,364805.0,52
14,114.92,147.31,4500.0,1300.0,185
15,147.19,120.78,9602.56,1250000.0,34
17,249.85,106.41,40400.0,272000.0,93
20,114.99,369.88,5728.005,357800.0,57
27,243.88,142.75,10800.0,380000.0,201
29,127.33,125.3,6458.0,682000.0,154
34,151.66500000000002,126.1,10436.25,200000.0,43
44,171.77,172.36,13031.0,836702.0,48
45,158.06,108.9,10350.0,4500.0,16
65,117.01,123.2,14375.0,10000.0,13
72,127.33,123.41,7234.0,1150000.0,151
83,118.0,111.01,2797.52,0.0,32
86,154.37,111.08,9000.0,5000.0,12
93,107.05,110.98,9317.0,15000.0,278
94,130.74,136.07,6790.62,10000.0,12
97,45.38,127.42,6162.53,352400.0,246
131,,,,,1
143,536.395,154.28,8300.0,634950.0,39
147,,,,,13
165,,,,,1
191,130.145,133.88,7018.0,999999.0,167
247,113.015,126.6,5358.73,440000.0,42
254,,,,,7
268,107.97,128.81,9739.0,100000.0,32
269,103.18,166.31,100.1,0.0,3
277,562.475,,,1100000.0,10
281,,87.8,7000.0,,4
285,9.38,112.7,19565.7,30000.0,84
299,151.94,122.2,8372.38,800000.0,59
301,260.0,,,45672.0,14
305,127.77,,,30000.0,10
309,133.505,141.27,4210.0,0.0,12
310,135.97,150.42,15000.0,40000.0,47
312,161.04,,,0.0,30
315,129.55,101.27,15730.0,1000.0,67
319,,,,,8
321,114.99,128.48,4840.0,100.0,67
322,300.16,214.07,12116.94,0.0,55
332,952.11,118.0,10695.19,352400.0,10
338,,,,,6
340,,,,,5
341,159.03,138.28,8780.97,50000.0,115
384,390.99,211.22,0.0,10000.0,11
389,369.0,150.0,18648.45,41500.0,15
426,137.95,185.34,17149.5,300000.0,115
431,63.23,97.51,6200.0,8000.0,78
432,125.45,968.15,9300.0,1500.0,21
435,110.015,196.08,7005.9,0.0,29
448,157.84,149.91,9084.08,800000.0,15
