codigo_entidad,hipoteca,personal,prendario,pfijo,tarjetas,paquetes,tipo_entidad
7,1,2,18,12,12,56,privado_nacional
11,24,5,0,10,1,12,publico
14,60,22,0,20,11,72,publico
15,2,8,7,6,8,3,extranjero
17,13,7,4,12,8,49,extranjero
20,12,7,0,17,18,3,publico
27,54,48,16,20,11,52,privado_nacional
29,68,12,2,24,6,42,publico
34,3,2,0,32,1,5,privado_nacional
44,6,5,0,18,7,12,publico
45,3,1,4,6,1,1,publico
65,5,5,0,2,1,0,publico
72,2,7,24,45,12,61,extranjero
83,1,6,4,18,3,0,publico
86,1,1,4,4,1,1,publico
93,0,42,0,8,60,168,publico
94,1,2,1,6,1,1,publico
97,12,42,0,13,33,146,publico
131,0,0,0,1,0,0,extranjero
143,20,6,0,11,2,0,privado_nacional
147,0,0,0,13,0,0,privado_nacional
165,0,0,0,1,0,0,extranjero
191,48,10,6,74,9,20,privado_nacional
247,0,24,0,12,6,0,privado_nacional
254,0,0,1,6,0,0,privado_nacional
268,1,2,1,14,10,4,publico
269,0,1,0,1,1,0,extranjero
277,0,6,0,3,1,0,privado_nacional
281,0,0,1,2,1,0,privado_nacional
285,15,16,0,11,14,28,privado_nacional
299,6,6,0,8,9,30,privado_nacional
301,0,4,0,10,0,0,privado_nacional
305,0,2,0,8,0,0,privado_nacional
309,0,2,0,3,7,0,publico
310,2,3,4,34,4,0,privado_nacional
312,0,19,0,11,0,0,privado_nacional
315,0,10,35,4,2,16,publico
319,0,0,0,8,0,0,privado_nacional
321,0,28,0,7,32,0,publico
322,0,13,0,11,8,23,privado_nacional
332,0,4,0,0,6,0,privado_nacional
338,1,0,0,5,0,0,privado_nacional
340,0,0,0,5,0,0,privado_nacional
341,0,64,0,19,20,12,privado_nacional
384,0,1,0,9,1,0,privado_nacional
389,0,3,3,5,3,1,privado_nacional
426,0,63,0,12,8,32,privado_nacional
431,0,13,24,22,4,15,privado_nacional
432,0,5,3,5,3,5,privado_nacional
435,0,6,0,18,5,0,privado_nacional
448,6,1,0,4,1,3,privado_nacional
