codigo_bcra,nombre_banco,tipo_entidad,fuente,variable,periodo,valor,scraping_fecha
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de cuentas corrientes,Dic-2023,9837.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de cuentas de ahorro,Dic-2023,1231762.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de cajas de ahorro de ayuda social,Dic-2023,479474.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de cuentas previsionales,Dic-2023,446288.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de operaciones a plazo fijo Individuos,Dic-2023,30163.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de operaciones a plazo fijo Empresas,Dic-2023,477.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de operaciones por otros préstamos,Dic-2023,576298.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Dotación de personal,Dic-2023,645.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de titulares por tarjetas de crédito,Dic-2023,177810.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de tarjetas de crédito (plásticos),Dic-2023,252497.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de tarjetas de débito,Dic-2023,1002946.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de cuentas corrientes,Dic-2024,10251.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de cuentas de ahorro,Dic-2024,1259872.0,2026-04-19
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,publico,informacion_estructura,Cantidad de cajas de ahorro de ayuda social,Dic-2024,501603.0,2026-04-19
