codigo_bcra,nombre_banco,tipo_entidad,fuente,variable,periodo,valor,scraping_fecha
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,TOTAL DE FINANCIACIONES Y GARANTIAS OTORGADAS ($),Dic-2023,351.44,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,TF.Sit.1: En situación normal (%),Dic-2023,99.92,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,TF.Sit.2: Con seguimiento especial/Riesgo bajo (%),Dic-2023,0.05,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,TF.Sit.3: Con problemas/Riesgo medio (%),Dic-2023,0.0,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,TF.Sit.4: Con alto riesgo de insolvencia/Riesgo alto (%),Dic-2023,0.01,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,TF.Sit.5: Irrecuperable (%),Dic-2023,0.02,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,Previsiones por riesgo de incobrabilidad constituídas,Dic-2023,0.46,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,CARTERA COMERCIAL ($),Dic-2023,320.41,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,Total cartera sobre financiaciones (%),Dic-2023,91.17,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,C.COM.Sit.1: En situación normal (%),Dic-2023,100.0,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,CARTERA DE CONSUMO O VIVIENDA ($),Dic-2023,17.5,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,Total cartera sobre financiaciones (%),Dic-2023,4.98,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,C.CON.Sit.1: En situación normal (%),Dic-2023,98.44,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,C.CON.Sit.2: Riesgo bajo (%),Dic-2023,1.1,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,C.CON.Sit.3: Riesgo medio (%),Dic-2023,0.0,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,C.CON.Sit.4: Riesgo alto (%),Dic-2023,0.13,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,C.CON.Sit.5: Irrecuperable (%),Dic-2023,0.33,2026-04-19
00269,BANCO DE LA REPUBLICA ORIENTAL DEL,extranjero,situacion_deudores,CARTERA COMERCIAL ASIMILABLE A CONSUMO ($),Dic-2023,13.52,2026-04-19
