Código de Entidad;Descripción de Entidad;Fecha de Información;¿Estableció el proceso simplificado de debida diligencia de identificación del cliente para su apertura?
55041;Naldo Lombardi S.A.;2021-08-23;
389;BANCO COLUMBIA S.A.;2026-02-19;SI
386;NUEVO BANCO DE ENTRE RÍOS S.A.;2017-03-27;SI
384;UALA BANK S.A.U.;2018-05-22;SI
341;BANCO MASVENTAS S.A.;2017-03-30;SI
426;BANCO BICA S.A.;2017-04-07;SI
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2020-01-08;SI
330;NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA;2017-04-07;SI
322;BANCO INDUSTRIAL S.A.;2017-09-08;SI
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2017-03-27;SI
311;NUEVO BANCO DEL CHACO S. A.;2017-03-27;SI
338;BANCO DE SERVICIOS Y TRANSACCIONES SAU;2017-03-27;SI
431;BANCO COINAG S.A.;2025-03-31;SI
432;BANCO DE COMERCIO S.A.;2017-03-30;SI
435;BANCO SUCREDITO REGIONAL S.A.U.;2019-10-07;SI
55244;Mutual del agro, la industria y el comercio de Santa Fe;2021-04-20;SI
55152;Asociación Mutual de protección Familiar;2021-03-22;SI
55115;Asociación Mutual Desarrollo Regional;2021-04-28;SI
55057;Mutual Integral de Servicios;2021-05-26;SI
55052;Asociación Mututal 18 de Julio;2026-04-14;SI
45072;REBA COMPAÑIA FINANCIERA S.A.;2017-06-14;SI
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2020-02-12;SI
45030;NARANJA DIGITAL COMPAÑÍA FINANCIERA S.A.U.;2021-05-18;SI
44077;COMPAÑIA FINANCIERA ARGENTINA S.A.;2017-03-30;SI
309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;2017-03-31;SI
285;BANCO MACRO S.A.;2017-03-27;SI
65203;CRÉDITO REGIONAL COMPAÑÍA FINANCIERA S.A.U.;2017-03-28;SI
94;BANCO DE CORRIENTES S.A.;2021-08-30;SI
93;BANCO DE LA PAMPA SA;2017-03-27;SI
281;BANCO MERIDIAN S.A.;2026-04-13;SI
97;BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA;2023-06-29;SI
65;BANCO MUNICIPAL DE ROSARIO;2026-03-30;SI
45;BANCO DE SAN JUAN S.A.;2017-03-27;SI
191;BANCO CREDICOOP COOPERATIVO LIMITADO;2017-03-28;SI
247;BANCO ROELA S.A.;2017-03-27;SI
86;BANCO DE SANTA CRUZ S.A.;2017-03-27;SI
34;BANCO PATAGONIA S.A.;2018-12-10;SI
27;BANCO SUPERVIELLE S.A.;2017-04-04;SI
268;BANCO PROVINCIA DE TIERRA DEL FUEGO;2017-03-27;SI
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2025-01-29;SI
17;BANCO BBVA ARGENTINA S.A.;2017-04-18;SI
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2017-10-20;SI
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2017-03-27;SI
11;BANCO DE LA NACION ARGENTINA;2017-03-27;SI
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2017-10-06;SI
83;BANCO DEL CHUBUT S.A.;2017-03-27;SI
44;BANCO HIPOTECARIO S.A.;2017-03-27;NO
277;BANCO SAENZ S.A.;2017-03-27;NO
147;BIBANK S.A.;2017-03-30;NO
299;BANCO COMAFI SOCIEDAD ANONIMA;2017-03-27;NO
301;BANCO PIANO S.A.;2017-03-27;NO
55317;BARSATEX S.A.;2021-08-25;NO
269;BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY;2017-04-28;NO
72;BANCO SANTANDER ARGENTINA S.A.;2017-03-27;NO
310;BANCO DEL SOL S.A.;2017-03-27;NO
315;BANCO DE FORMOSA S.A.;2017-03-27;NO
319;BANCO CMF S.A.;2017-03-27;NO
254;BANCO MARIVA S.A.;2022-10-03;NO
165;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (SUCURSAL BUENOS AIRES);2017-05-30;NO
312;BANCO VOII S.A.;2017-03-31;NO
305;BANCO JULIO SOCIEDAD ANONIMA;2017-03-27;NO
