Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Hipotecario;Nombre corto del Préstamo Hipotecario;Denominación;Monto máximo otorgable del préstamo;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Relación monto/tasación (%);Destino de los fondos;Beneficiarios;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $100.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-04-09;PRESTAMOSHIPOTECARIOSUVA;PHUVA;UVA;999999999;240;310000;12;55;25,00;70,00;Vivienda propia, única y permanente;Clientes que acrediten sueldos en la entidad;4,00;12,00;Fija;15,00;12677,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;SECTOR PUBLICO;UVA;312715620;360;496002;12;85;30,00;90,00;Vivienda propia, única y permanente;Clientes que acrediten sueldos en la entidad;4,00;6,17;Fija;7,34;5996,00;Todo el territorio nacional;ADQUISICION VIV UNICA HABERES ADMINISTRACION PUBLICA MONTO MAXIMO OTORGABLE 189000 UVAS Y VALOR DE VIVIENDA DE HASTA 210000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;SECTOR PUBLICO;UVA;521192700;360;850961;12;85;30,00;90,00;Vivienda propia, única y permanente;Clientes que acrediten sueldos en la entidad;4,00;12,69;Fija;14,48;10286,00;Todo el territorio nacional;ADQUISICION VIV UNICA HABERES ADMINISTRACION PUBLICA MONTO MAXIMO OTORGABLE 315000 UVAS Y VALOR DE VIVIENDA SUPERIOR A 210000 UVAS HASTA 350000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;MAS HOGARES CON BNA;UVA;430190800;360;1021153;12;85;25,00;75,00;Vivienda propia, única y permanente;Clientes con cuenta en la entidad;4,00;12,69;Fija;14,48;10286,00;Todo el territorio nacional;ADQUISICION VIV UNICA SIN HABERES MONTO MAXIMO OTORGABLE 260000 UVAS Y VALOR DE VIVIENDA DE HASTA 350000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;MAS HOGARES CON BNA;UVA;430190800;180;1516835;12;85;25,00;75,00;Vivienda adicional o 2da vivienda;Clientes con cuenta en la entidad;4,00;12,69;Fija;17,59;15279,00;Todo el territorio nacional;TERMINACION AMPLIACION REFACCIO MONTO MAXIMO OTORGABLE 260000 UVAS Y VALOR DE VIVIENDA DE HASTA 350000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;MAS HOGARES CON BNA;UVA;260596350;360;756424;12;85;25,00;75,00;Vivienda propia, única y permanente;Clientes que acrediten sueldos en la entidad;4,00;6,17;Fija;9,72;7619,00;Todo el territorio nacional;ADQUISICION VIV UNICA HABERES CON TOPEO DE CUOTA POR CVS MONTO MAXIMO OTORGABLE 157500 UVAS Y VALOR DE VIVIENDA DE HASTA 210000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;MAS HOGARES CON BNA;UVA;260596350;360;595203;12;85;25,00;75,00;Vivienda propia, única y permanente;Clientes que acrediten sueldos en la entidad;4,00;6,17;Fija;7,34;5996,00;Todo el territorio nacional;ADQUISICION VIV UNICA HABERES MONTO MAXIMO OTORGABLE 157500 UVAS Y VALOR DE VIVIENDA DE HASTA 210000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;MAS HOGARES CON BNA;UVA;430190800;360;1316930;12;85;25,00;75,00;Vivienda adicional o 2da vivienda;Clientes con cuenta en la entidad;4,00;12,69;Fija;17,26;13265,00;Todo el territorio nacional;CONSTRUCCION SEGUNDA VIVIENDA MONTO MAXIMO OTORGABLE 260000 UVAS Y VALOR DE VIVIENDA DE HASTA 350000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;MAS HOGARES CON BNA;UVA;430190800;360;1229630;12;85;25,00;75,00;Vivienda adicional o 2da vivienda;Clientes con cuenta en la entidad;4,00;12,69;Fija;17,35;12386,00;Todo el territorio nacional;ADQUISICION SEGUNDA VIVIENDA MONTO MAXIMO OTORGABLE 260000 UVAS Y VALOR DE VIVIENDA DE HASTA 350000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
11;BANCO DE LA NACION ARGENTINA;2025-11-28;PRESTAMOS HIPOTECARIOS EN UVA;SECTOR PUBLICO;UVA;312715620;360;630353;12;85;30,00;90,00;Vivienda propia, única y permanente;Clientes que acrediten sueldos en la entidad;4,00;6,17;Fija;9,72;7619,00;Todo el territorio nacional;ADQUISICION VIV UNICA HABERES ADMINISTRACION PUBLICA CON TOPEO DE CUOTA POR CVS MONTO MAXIMO OTORGABLE 189000 UVAS Y VALOR DE VIVIENDA DE HASTA 210000 UVAS AJUSTABLES A LA COTIZACION INFORMADA POR BCRA DIARIAMENTE CANCELACION ANTICIPADA NO SE ADMITIRA LA APLICACION DE DICHA COMISION CUANDO AL MOMENTO DE EFECTUARLA HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO DE AMBOS EL MAYOR DATOS A LA COTIZACION UVA DEL 20112025
