Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Paquete de Productos;Nombre corto del Paquete de Productos;Comisión máxima por servicio de mantenimiento de paquete;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Beneficiarios;Segmento;Productos que integran el paquete;Territorio de validez de la oferta;Más información
70427;TARJETA GRUPAR S.A.;2017-04-06;;;;;;;;;;;
27;BANCO SUPERVIELLE S.A.;2026-04-10;IDENTITE PLATINUM;;63250,00;1100000;0;86;Empleados públicos;Premium platinum;1 CAJA DE AHORRO EN PESOS,1 CAJA DE AHORRO EN DOLARES,1 CAJA DE AHORRO EN EUROS, 1 CUENTA CORRIENTES, 1 TARJETA DE CREDITO PLATINUM VISA Y MASTERCARD, 1 TARJETA DE DEBITO, CHEQUERA ILIMITADA, SEGURO ANTE ROBO EN CAJERO AUTOMATICO Y SEGURO DE BOLSO PROTEGIDO  BONIFICADOS, TRANSACCIONES EN CAJEROS DEL EXTERIOR SIN COSTO, TRANSACCIONES EN CAJEROS BANELCO SIN COSTO,TRANSACCIONES EN CAJEROS LINK SIN COSTO;Todo el territorio nacional;
72;BANCO SANTANDER ARGENTINA S.A.;2026-01-26;INFINITY;INFINITY;32177,00;1150000;6;100;Personas humanas Monotributistas;Básico;CUENTA CORRIENTE, CAJA DE AHORRO EN DOLARES, TARJETA VISA  SIN CARGO DE RENOVACION, TARJETA AMERICAN EXPRESS SIN CARGO DE RENOVACION, TARJETA DE DEBITO , RESUMEN UNICO MENSUAL;Todo el territorio nacional;PARTICIPA DEL PROGRAMA DE BENEFICIOS SUPERCLUB
72;BANCO SANTANDER ARGENTINA S.A.;2026-01-26;SUPERCUENTA;SUPERCUENTA;11900,00;1000;1;100;Personas humanas Monotributistas;Básico;CAJA DE AHORRO EN DOLARES, MOVIMIENTOS ILIMITADOS EN CAJEROS PROPIOS DE LA RED BANELCO, TARJETA DE DEBITO PARA EL PRIMER FIRMANTE, RESUMEN UNICO CUATRIMESTRAL;Todo el territorio nacional;REQUISITO DEMOSTRAR ORIGEN DE FONDOS, PARTICIPA DEL PROGRAMA DE BENEFICIOS SUPERCLUB
426;BANCO BICA S.A.;2025-12-29;PAQUETE BICA PLATINUM;PLATINUM;51999,75;0;0;100;Clientes que acrediten sueldos en la entidad;Premium platinum;CAJA DE AHORRO PESOS, CAJA DE AHORRO USD, TARJETA DE DEBITO, TARJETA DE CREDITO;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2020-12-18;PLATINUM PACK PLAN SUELDO;PLATINUM PACK;,00;70000;6;100;Todos los beneficiarios;Premium platinum;TARJETA DE CREDITO VISA PLATINUM. CAJA DE AHORRO EN DOLARES. TARJETA DE DEBITO. CUENTA CORRIENTE OPC. CUENTA INVERSION.;Todo el territorio nacional;EMPLEADOS EN RELACION DE DEPENDENCIA: 6 MESES. CONTRATADOS: 3 AÑOS. INDEPENDIENTES: 1 AÑO.
17;BANCO BBVA ARGENTINA S.A.;2026-04-16;CUENTA PREMIUM                                                                                                                  ;CTA PREMIUM              ;66900,00;83400;12;100;Empleados públicos;Premium platinum;VISA DEBITO, 1 CUSTODIA, 1 CUENTA CORRIENTE EN PESOS, 1 CAJA DE AHORRO EN EUROS, 1 CAJA DE AHORRO EN DOLARES, 1 MASTERCARD PLATINUM Y 1 VISA PLATINUM, ACUERDO PARA ADELANTOS EN CC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Todo el territorio nacional;INGRESO SIN ACREDITACION DE HABERES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
426;BANCO BICA S.A.;2025-12-29;PAQUETE BICA OPTIMA;OPTIMA;42386,97;0;0;100;Empleados públicos;Premium platinum;CUENTA CORRIENTE, ACUERDO ADELANTOS TRANSITORIOS, TARJETA DE DEBITO, 4 TARJETAS DE CREDITO;Todo el territorio nacional;
72;BANCO SANTANDER ARGENTINA S.A.;2026-01-26;SUPERCUENTA 3;SUPERCUENTA 3;29040,00;1150000;6;100;Personas humanas Monotributistas;Básico;CUENTA CORRIENTE, CAJA DE AHORRO EN DOLARES, TARJETA SANTANDER RIO VISA INTERNACIONAL SIN CARGO DE RENOVACION,  RESUMEN Y ADICIONALES, MOVIMIENTOS ILIMITADOS EN CAJEROS PROPIOS DE LA RED BANELCO, TARJETA DE DEBITO PARA EL PRIMER FIRMANTE, RESUMEN UNICO MENSUAL;Todo el territorio nacional;REQUISITO DEMOSTRAR ORIGEN DE FONDOS, PARTICIPA DEL PROGRAMA DE BENEFICIOS SUPERCLUB
432;BANCO DE COMERCIO S.A.;2026-04-16;BANCO DE COMERCIO BDC COMPLEX;BDC COMPLEX;345674,31;0;0;100;Todos los beneficiarios;Básico;CAJA DE AHORRO PESOS, CAJA DE AHORRO DOLARES;Todo el territorio nacional;
432;BANCO DE COMERCIO S.A.;2026-04-16;BANCO DE COMERCIO EMPRESAS;EMPRESAS;70164,59;0;0;100;Todos los beneficiarios;Básico;CUENTA CORRIENTE EN PESOS, CUENTA CORRIENTE ESPECIAL EN DOLARES, CHEQUERA 25;Todo el territorio nacional;
432;BANCO DE COMERCIO S.A.;2026-04-16;BANCO DE COMERCIO COMERCIO PJ;COMERCIO PJ;51443,69;0;0;100;Todos los beneficiarios;Básico;CUENTA CORRIENTE EN PESOS, CUENTA CORRIENTE ESPECIAL EN DOLARES, CHEQUERA 25;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-04-16;CUENTA PREMIUM                                                                                                                  ;CTA PREMIUM              ;66900,00;83400;12;100;Beneficiarios de cuentas de          Seguridad Social;Premium platinum;VISA DEBITO, 1 CUSTODIA, 1 CUENTA CORRIENTE EN PESOS, 1 CAJA DE AHORRO EN EUROS, 1 CAJA DE AHORRO EN DOLARES, 1 MASTERCARD PLATINUM Y 1 VISA PLATINUM, ACUERDO PARA ADELANTOS EN CC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Todo el territorio nacional;INGRESO SIN ACREDITACION DE HABERES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
426;BANCO BICA S.A.;2025-12-29;PAQUETE BICA PLATINUM;PLATINUM;51999,75;0;0;100;Empleados públicos;Premium platinum;CAJA DE AHORRO PESOS, CAJA DE AHORRO USD, TARJETA DE DEBITO, TARJETA DE CREDITO;Todo el territorio nacional;
432;BANCO DE COMERCIO S.A.;2026-04-16;BANCO DE COMERCIO COMERCIO PJ;COMERIO PH;41915,50;0;0;100;Todos los beneficiarios;Básico;CAJA DE AHORRO PESOS, CAJA DE AHORRO DOLARES, CUENTA CORRIENTE EN PESOS, CHEQUERA 25;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2025-11-03;SERVICIO TOTAL;TOTAL;27000,00;310000;3;80;Personas humanas Monotributistas;Básico;CAJA DE AHORRO DOLARES, TARJETA DE CREDITO, TARJETA DE CREDITO;Todo el territorio nacional;
72;BANCO SANTANDER ARGENTINA S.A.;2026-01-26;SUPERCUENTA CON PRESTAMO PERSONAL;SUPERCUENTA CON PREST PER;14339,00;1150000;1;100;Personas humanas Monotributistas;Básico;CUENTA CORRIENTE, CAJA DE AHORRO EN DOLARES, MOVIMIENTOS ILIMITADOS EN CAJEROS PROPIOS DE LA RED BANELCO, TARJETA DE DEBITO PARA EL PRIMER FIRMANTE, RESUMEN UNICO CUATRIMESTRAL, CUENTA CORRIENTE, PRESTAMO PERSONAL PREACORDADO;Todo el territorio nacional;REQUISITO DEMOSTRAR ORIGEN DE FONDOS, PARTICIPA DEL PROGRAMA DE BENEFICIOS SUPERCLUB
17;BANCO BBVA ARGENTINA S.A.;2026-04-16;CUENTA PLUS                                                                                                                     ;CTA.PLUS                 ;29900,00;28000;12;100;Personas humanas Monotributistas;Básico;VISA DEBITO, 1 CUENTA CORRIENTE EN PESOS, 1 CAJA DE AHORRO EN DOLARES, 1 MASTERCARD - TARJETA DE CREDITO INTERNACIONAL Y VISA INTERNACIONAL - T CREDITO, ACUERDO PARA ADELANTOS EN CC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Todo el territorio nacional;INGRESO SIN ACREDITACION DE HABERES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
