Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-31;PRESTAMOPERSONAL;PP;Pesos;24800000;500;72;310000;0;80;30,00;Todos los beneficiarios;4,00;250,00;Fija;348,00;1551,00;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-31;PRESTAMOPERSONALUVA;PPUVA;UVA;10000000;500;12;310000;0;80;30,00;Todos los beneficiarios;4,00;30,00;Fija;37,00;956,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-03-25;MAS AUTOS CON BNA;MAS AUTOS;Pesos;100000000;1000000;72;388870;0;100;30,00;Todos los beneficiarios;4,00;45,37;Fija;57,02;421,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-03-25;NACION PERSONALES LIBRE DESTINO TRAMO IV;NACION LIBRE DESTINO;Pesos;50000000;100000;72;355423;12;100;30,00;Clientes con cuenta en la entidad;4,00;127,33;Fija;168,26;862,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-03-25;NACION SUELDOS TRAMO III;NACION SUELDOS;Pesos;100000000;100000;72;353004;3;74;35,00;Clientes que acrediten sueldos en la entidad;4,00;79,59;Fija;102,36;620,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-03-25;NACION PREVISIONAL;NACION PREVISIONAL;Pesos;50000000;100000;72;364805;0;88;35,00;Clientes que acrediten sueldos en la entidad;4,00;68,03;Fija;86,78;555,00;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-03-25;ADELANTO DE HABERES;ADELANTO DE HABERES;Pesos;500000;50000;1;401288;1;100;50,00;Clientes que acrediten sueldos en la entidad;,00;136,07;Fija;180,47;10898,00;Todo el territorio nacional;
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;50000000;100000;36;1300;12;100;30,00;Beneficiarios de cuentas de la seguridad social;4,00;156,52;Fija;156,52;836,00;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - SECTOR PRIVADO;HABERES SECTOR PRIVADO;Pesos;50000000;1000;60;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;140,40;Fija;140,40;782,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - ACA MOTOS;ACA MOTOS;Pesos;50000000;100000;36;1300;12;100;30,00;Clientes con cuenta en la entidad;4,00;91,93;Fija;91,93;650,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - PROFESIONALES Y NEGOCIOS;PROF Y NEG ILME;Pesos;50000000;1000;36;1300;12;100;30,00;Personas humanas Responsables Inscriptos;4,00;129,47;Fija;129,47;743,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - PUBLICO GENERAL;PUBLICO GENERAL;Pesos;50000000;100000;36;1300;12;100;30,00;Beneficiarios de cuentas de la seguridad social;4,00;156,52;Fija;156,52;836,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - SECTOR PRIVADO;HABERES SECTOR PRIVADO;Pesos;50000000;1000;60;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;140,40;Fija;140,40;782,00;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - HABERES PASIVOS;HABERES PASIVOS;Pesos;50000000;1000;60;1300;3;100;35,00;Beneficiarios de cuentas de la seguridad social;4,00;114,92;Fija;114,92;691,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - ACA TURISMO;ACA TURISMO;Pesos;2000000;100000;12;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;77,88;Fija;77,88;1123,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - PROFESIONALES Y NEGOCIOS;PROF Y NEG;Pesos;50000000;1000;60;1300;12;100;30,00;Personas humanas Responsables Inscriptos;4,00;129,47;Fija;129,47;743,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - ACA TURISMO;ACA TURISMO;Pesos;2000000;100000;12;1300;12;100;30,00;Clientes con cuenta en la entidad;4,00;93,76;Fija;93,76;1171,00;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - HABERES PASIVOS;HABERES PASIVOS;Pesos;50000000;1000;60;1300;3;100;35,00;Beneficiarios de cuentas de la seguridad social;4,00;114,92;Fija;114,92;691,00;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - ADMINISTRACION PUBLICA NACIONAL, PROVINCIAL Y MUNICIPAL;HABERES ADMIN PUBLICA;Pesos;50000000;1000;60;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;114,92;Fija;114,92;691,00;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - PROFESIONALES Y NEGOCIOS;PROF Y NEG ILME;Pesos;50000000;1000;36;1300;12;100;30,00;Personas humanas Responsables Inscriptos;4,00;129,47;Fija;129,47;743,00;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - ACA TURISMO;ACA TURISMO;Pesos;2000000;100000;12;1300;12;100;30,00;Clientes con cuenta en la entidad;4,00;93,76;Fija;93,76;1171,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - ADMINISTRACION PUBLICA NACIONAL, PROVINCIAL Y MUNICIPAL;HABERES ADMIN PUBLICA;Pesos;50000000;1000;60;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;114,92;Fija;114,92;691,00;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-03-03;PRESTAMO PERSONAL PROVINCIA - ACA MOTOS;ACA MOTOS;Pesos;50000000;100000;36;1300;3;100;35,00;Clientes que acrediten sueldos en la entidad;4,00;88,33;Fija;88,33;637,00;Provincia de Buenos Aires;0
