Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Prendario;Nombre corto del Préstamo Prendario;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Relación monto/tasación (%);Destino de los fondos;Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIO;PRENDARIO;Pesos;57000000;1000000;60;310000;3;70;40,00;45,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 9 A 10 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIOUVA;PRENDARIOUVA;UVA;57000000;1000000;60;310000;3;70;40,00;50,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;36,00;Fija;45,00;38396,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 7 A 8 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPERSONALPRENDARIO 2.0;PRENDARIO2.0;Pesos;57000000;1000000;60;310000;3;70;40,00;75,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;4,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 2 A 3 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPERSONALPRENDARIO 2.0;PRENDARIO2.0;Pesos;57000000;1000000;60;310000;3;70;40,00;45,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;4,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 9 A 10 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIO;PRENDARIO;Pesos;57000000;1000000;60;310000;3;70;40,00;80,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 1 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIO;PRENDARIO;Pesos;57000000;1000000;60;310000;3;70;40,00;65,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 4 A 6 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIO;PRENDARIO;Pesos;57000000;1000000;60;310000;3;70;40,00;50,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 7 A 8 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIOUVA;PRENDARIOUVA;UVA;57000000;1000000;60;310000;3;70;40,00;45,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;36,00;Fija;45,00;38396,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 9 A 10 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIOUVA;PRENDARIOUVA;UVA;57000000;1000000;60;310000;3;70;40,00;80,00;Adquisición automotores 0 km;Clientes con cuenta en la entidad;5,00;34,00;Fija;43,00;37604,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 0
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIOUVA;PRENDARIOUVA;UVA;57000000;1000000;60;310000;3;70;40,00;75,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;36,00;Fija;45,00;38396,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 2 A 3 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPERSONALPRENDARIO 2.0;PRENDARIO2.0;Pesos;57000000;1000000;60;310000;3;70;40,00;80,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;4,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 1  ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPERSONALPRENDARIO 2.0;PRENDARIO2.0;Pesos;57000000;1000000;60;310000;3;70;40,00;65,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;4,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 4 A 6 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIOUVA;PRENDARIOUVA;UVA;57000000;1000000;60;310000;3;70;40,00;65,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;36,00;Fija;45,00;38396,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 4 A 6 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIO;PRENDARIO;Pesos;57000000;1000000;60;310000;3;70;40,00;75,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 2 A 3 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPERSONALPRENDARIO 2.0;PRENDARIO2.0;Pesos;57000000;1000000;60;310000;3;70;40,00;80,00;Adquisición automotores 0 km;Clientes con cuenta en la entidad;4,00;80,00;Fija;102,00;63329,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 0
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPERSONALPRENDARIO 2.0;PRENDARIO2.0;Pesos;57000000;1000000;60;310000;3;70;40,00;50,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;4,00;88,00;Fija;114,00;67929,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 7 A 8 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIOUVA;PRENDARIOUVA;UVA;57000000;1000000;60;310000;3;70;40,00;80,00;Adquisición de automotores usados;Clientes con cuenta en la entidad;5,00;36,00;Fija;45,00;38396,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 1 ANIOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-02-23;PRESTAMOPRENDARIO;PRENDARIO;Pesos;57000000;1000000;60;310000;3;70;40,00;80,00;Adquisición automotores 0 km;Clientes con cuenta en la entidad;5,00;80,00;Fija;102,00;63329,00;Todo el territorio nacional;ANTIGUEDAD PRENDA 0
