Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo de la tarjeta de crédito;Nombre corto de la tarjeta de crédito;Comisión máxima por administración y mantenimiento de la cuenta;Comisión máxima por servicio de renovación;Tasa efectiva anual máxima de interés compensatorio por financiación de saldos;Tasa efectiva anual máxima de interés por adelanto en efectivo;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Segmento;Territorio de validez;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;AMERICAN EXPRESS INTERNACIONAL;AMEX INTER;18500,00;163500,00;133,44;133,44;310000;6;100;Internacional;Todo el territorio nacional;0
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;VISA GOLD;VISA GOLD;21500,00;326000,00;133,44;133,44;900000;6;100;Premium gold;Todo el territorio nacional;0
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;MASTERCARD PLATINUM;MASTER PLATINUM;31500,00;457600,00;133,44;133,44;999999;6;100;Premium gold;Todo el territorio nacional;EL INGRESO MENSUAL MINIMO ES 2.150.000 PESOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;AMERICAN EXPRESS SIGNATURE;AMEX SIGNATURE;32000,00;582300,00;133,44;133,44;999999;6;100;Premium signature, black o similar;Todo el territorio nacional;EL INGRESO MENSUAL MINIMO ES 3.250.000 PESOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;MASTERCARD INTERNACIONAL;MASTER INTER;27500,00;163500,00;133,44;133,44;310000;6;100;Internacional;Todo el territorio nacional;0
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;MASTERCARD BLACK;MASTER BLACK;37500,00;582300,00;133,44;133,44;999999;6;100;Premium signature, black o similar;Todo el territorio nacional;EL INGRESO MENSUAL MINIMO ES 3.250.000 PESOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;MASTERCARD GOLD;MASTER GOLD;21500,00;326000,00;133,44;133,44;900000;6;100;Premium gold;Todo el territorio nacional;0
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;AMERICAN EXPRESS PLATINUM;AMEX PLATINUM;31500,00;457600,00;133,44;133,44;999999;6;100;Premium gold;Todo el territorio nacional;EL INGRESO MENSUAL MINIMO ES 2.150.000 PESOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;VISA SIGNATURE;VISA SIGNATURE;37500,00;582300,00;133,44;133,44;999999;6;100;Premium signature, black o similar;Todo el territorio nacional;EL INGRESO MENSUAL MINIMO ES 3.250.000 PESOS
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;VISA INTERNACIONAL;VISA INTER;27500,00;163500,00;133,44;133,44;310000;6;100;Internacional;Todo el territorio nacional;0
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;2026-03-10;VISA PLATINUM;VISA PLATINUM;31500,00;457600,00;133,44;133,44;999999;6;100;Premium gold;Todo el territorio nacional;EL INGRESO MENSUAL MINIMO ES 2.150.000 PESOS
